Paises,Continentes,Tasa_no_escolaridad_Preescolar_Hombres,Tasa_no_escolaridad_Preescolar_Mujeres,Tasa_no_escolaridad_Primaria_Hombres,Tasa_no_escolaridad_Primaria_Mujeres,Tasa_no_escolaridad_SecundariaInferior_Hombres,Tasa_no_escolaridad_SecundariaInferior_Mujeres,Tasa_no_escolaridad_SecundariaSuperior_Hombres,Tasa_no_escolaridad_SecundariaSuperior_Mujeres,Tasa_Finalización_Primaria_Hombres,Tasa_Finalización_Primaria_Mujeres,Tasa_Finalización_SecundariaInferior_Hombres,Tasa_Finalización_SecundariaInferior_Mujeres,Tasa_Finalización_SecundariaSuperior_Hombres,Tasa_Finalización_SecundariaSuperior_Mujeres,Competencia_Lectora_Primaria,Competencia_Matemática_Primaria,Competencia_Lectora_SecundariaInferior,Competencia_Matemática_SecundariaInferior,Tasa_Alfabetización_Hombres_15-24_años,Tasa_Alfabetización_Mujeres_15-24_años,Tasa_Natalidad,Matrícula_Bruta_Primaria,Matrícula_Bruta_Terciaria,Tasa_Desempleo
Egypt,Africa,63,63,0,0,3,2,23,24,91,92,79,81,43,41,0,0,0,21,0,0,26.38,106.3,35.2,10.76
El Salvador,America,18,17,14,13,17,17,33,35,84,89,73,74,34,36,0,0,0,0,98,98,18.25,94.8,29.4,4.11
Equatorial Guinea,Africa,57,55,56,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.24,61.8,1.9,6.43
Eritrea,Africa,73,73,45,50,32,40,45,53,0,0,0,0,0,0,0,0,0,0,94,93,30.3,68.4,3.4,5.14
Estonia,Europe,12,12,2,2,2,0,1,2,0,0,0,0,0,0,0,0,89,90,0,0,10.9,97.2,69.6,5.11
Eswatini,Africa,0,0,15,17,3,3,14,18,64,77,47,54,31,33,0,0,0,0,94,97,0.0,0.0,0.0,0.0
Ethiopia,Africa,62,64,11,18,45,49,73,75,47,48,19,22,11,14,0,0,0,0,0,0,32.34,101.0,8.1,2.08
Fiji,Oceania,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.28,106.4,16.1,4.1
Finland,Europe,2,3,1,1,1,0,3,5,0,0,0,0,0,0,0,0,86,85,0,0,8.6,100.2,88.2,6.59
France,Europe,0,0,0,0,1,1,5,4,0,0,0,0,0,0,94,58,79,79,0,0,11.3,102.5,65.6,8.43
Gabon,Africa,0,0,0,0,0,0,0,0,66,75,32,33,14,14,0,0,0,0,88,91,31.61,139.9,8.3,20.0
The Gambia,Africa,42,36,19,10,0,0,0,0,64,60,50,48,33,28,0,0,0,0,0,0,38.54,98.0,2.7,9.06
Georgia,Europe,0,0,2,2,1,2,7,4,100,100,98,98,79,83,0,0,36,39,0,0,13.47,98.6,63.9,14.4
Germany,Europe,1,1,1,0,6,4,12,16,0,0,0,0,0,0,95,77,79,79,0,0,9.5,104.0,70.2,3.04
Ghana,Africa,14,12,1,0,13,8,28,28,69,73,45,50,12,9,0,0,0,0,93,92,29.41,104.8,15.7,4.33
Greece,Europe,6,5,2,1,3,5,4,6,0,0,0,0,0,0,0,0,69,64,99,99,8.1,99.6,136.6,17.24
Grenada,America,4,1,0,0,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,16.47,106.9,104.6,0.0
Guatemala,America,16,16,11,10,30,35,57,61,80,76,52,45,27,25,36,34,30,11,0,0,24.56,101.9,21.8,2.46
Guinea,Africa,57,60,15,29,43,60,59,76,52,39,33,20,22,13,0,0,0,0,70,43,36.36,91.5,11.6,4.3
Guinea0Bissau,Africa,0,0,0,0,0,0,0,0,29,25,18,16,14,8,0,0,0,0,0,0,35.13,118.7,2.6,2.47
Guyana,America,0,0,0,0,0,0,0,0,96,99,80,88,49,64,0,0,0,0,0,0,19.97,97.8,11.6,11.85
Haiti,America,0,0,0,0,0,0,0,0,49,58,32,38,17,16,0,0,0,0,0,0,24.35,113.6,1.1,13.78
Vatican City,Europe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Honduras,America,24,22,11,14,44,31,58,54,81,87,46,52,29,35,31,32,30,15,95,98,21.6,91.5,26.2,5.39
Hungary,America,12,14,4,5,3,3,12,12,0,0,0,0,0,0,97,75,75,67,0,0,9.6,100.8,48.5,3.4
Iceland,Europe,4,3,0,1,1,0,15,11,0,0,0,0,0,0,0,0,74,79,0,0,12.0,100.4,71.8,2.84
India,Asia,0,0,3,1,18,12,47,48,92,91,82,79,46,40,46,44,0,0,93,90,17.86,113.0,28.1,5.36
Indonesia,Asia,8,2,3,8,19,14,23,22,91,92,64,59,40,37,0,0,30,28,100,100,18.07,106.4,36.3,4.69
Iran,Asia,50,49,0,0,3,6,25,27,0,0,0,0,0,0,0,0,0,34,0,0,18.78,110.7,68.1,11.38
Iraq,Asia,0,0,0,0,0,0,0,0,78,73,46,47,45,43,0,0,0,0,0,0,29.08,108.7,16.2,12.82
Republic of Ireland,Europe,2,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,88,84,0,0,12.5,100.9,77.8,4.93
Israel,Asia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,66,0,0,20.8,104.9,63.4,3.86
Italy,Europe,6,7,3,3,2,2,6,5,0,0,0,0,0,0,0,0,77,62,100,100,7.3,101.9,61.9,9.89
Jamaica,America,8,6,0,0,19,17,25,22,99,100,97,97,80,83,0,0,0,0,0,0,16.1,91.0,27.1,8.0
Japan,Asia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,89,0,0,7.4,98.8,63.2,2.29
